Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags,Scripture References,Theology & Meaning,Worship Leadership Tips,Arrangement Tips
Let It Be A Hallelujah,Josh Wilson,G,Bb,92,4/4,praise; suffering; trust; declaration,modern,Psalm 34:1; Habakkuk 3:17-18; Hebrews 13:15,"The song forms resilient worship that does not depend on perfect circumstances. It encourages praise as an act of trust, aligning with the biblical call to bless the Lord in trials.",Frame it as a congregational offering of praise in hard seasons. Keep it steady and avoid overbuilding too early. This works well after a testimony or during response.,"A song that turns weakness into worship, inviting believers to offer praise even when words are few and circumstances are hard. Use the practical leadership notes above for arrangement guidance."
Oh My Soul (Psalm 103),Chris Tomlin,G,Bb,92,4/4,psalm_103; gratitude; praise; remembrance,modern,Psalm 103:1-5; Psalm 103:8-12; Lamentations 3:22-23,"Rooted in Psalm 103, the song forms worship through remembrance, gratitude, and praise. It helps the church name God's mercy, forgiveness, and steadfast love as the reason for worship.",Consider reading a portion of Psalm 103 before singing. Keep the groove steady and let the chorus be the main congregational anchor. Great for thanksgiving moments and testimony services.,"A Scripture-shaped worship song that leads believers to bless the Lord by remembering His benefits, mercy, and faithful love. Use the practical leadership notes above for arrangement guidance."
That's My King,CeCe Winans,A,C,90,4/4,kingship_of_jesus; worthy; praise; testimony,modern,Philippians 2:9-11; Revelation 19:16; Colossians 1:15-18,The song forms worship as confession of Jesus' identity and rule. It aligns with biblical worship that exalts Christ as King and calls the church to honor His name with testimony praise.,"Keep it joyful and confident. If your church is less familiar, teach the chorus and keep the arrangement simple. This works well after testimony or as a celebratory closer.","A bold worship declaration that celebrates who Jesus is, inviting the church to confess Christ's kingship with confidence and joy. Use the practical leadership notes above for arrangement guidance."
"10,000 Armies",Commonly Performed,A,C,128,4/4,victory; spiritual_warfare; trust; declaration,modern; upbeat,2 Chronicles 20:15; Psalm 27:1; Romans 8:31,"The song forms trust in God's protection and power, emphasizing that victory belongs to the Lord. It aligns with biblical themes of God fighting for His people and strengthening them with courage.","Keep it driving and congregational. Avoid overly complex rhythms so the room can sing. This fits well in sets focused on victory, freedom, and trust.","A victory-forward worship song declaring God's power over fear and opposition, giving the church language for confidence in battle. Use the practical leadership notes above for arrangement guidance."
Can't Stop Praisin',Elevation Rhythm,A,C,140,4/4,praise; joy; celebration; testimony,modern; upbeat,Psalm 150:1-6; Psalm 34:1; Psalm 100:1-2,"The song forms praise as an overflow of gratitude and testimony. It emphasizes that worship is the natural response to God's goodness and faithfulness, encouraging embodied celebration.","Best for youth nights or high-energy openings. Keep it tight and avoid overextending sections. If your main Sunday room is more reserved, consider using it sparingly or in specific contexts.","An energetic praise song that celebrates God's goodness with contagious joy, inviting the church to respond with unrestrained worship. Use the practical leadership notes above for arrangement guidance."
I Believe,Phil Wickham,D,F,96,4/4,creed; faith; confession; gospel,modern,Romans 10:9-10; 1 Corinthians 15:3-4; 1 Timothy 3:16,"The song forms worship as confession of faith, reinforcing orthodox Christian belief in Christ and the gospel. It encourages unity around shared doctrine and public testimony.","Lead it like a congregational creed. Keep the tempo steady and lyrics very clear. This works well after baptisms, during doctrinal series, or as a unifying declaration.",A confession-driven worship song that gives the church language to declare core beliefs with clarity and unity. Use the practical leadership notes above for arrangement guidance.
New Thing Coming,Commonly Performed,A,C,124,4/4,renewal; hope; faith; declaration,modern; upbeat,Isaiah 43:18-19; 2 Corinthians 5:17; Ezekiel 36:26,"The song forms expectancy rooted in God's promise to renew and restore. It encourages faith that God can bring new life and new beginnings, especially after seasons of dryness.",Keep it joyful and forward-moving. Consider pairing it with testimony moments or messages about renewal. Make sure the chorus is easy to grab so the room can sing quickly.,"A hopeful worship song that celebrates God's renewing work, calling the church to expect transformation and fresh movement by the Spirit. Use the practical leadership notes above for arrangement guidance."
The Jesus Way,Phil Wickham,G,Bb,94,4/4,discipleship; kingdom; following_jesus; obedience,modern,Mark 8:34; John 14:6; Philippians 2:5-8,"The song frames discipleship as embodied following of Jesus, emphasizing surrender, obedience, and kingdom priorities. It forms worship that leads to imitation of Christ, not merely emotional expression.",This works well in teaching series on discipleship and formation. Keep it steady and lyric-forward. Pair it with a short exhortation that connects worship to daily obedience.,"A discipleship-focused worship song that invites believers to follow Jesus' way, forming obedience, humility, and kingdom-centered living. Use the practical leadership notes above for arrangement guidance."
The Blood,Kari Jobe,D,F,70,4/4,cross; redemption; forgiveness; grace,modern; slow,Hebrews 9:14; Ephesians 1:7; 1 John 1:7,The song emphasizes redemption through Christ's sacrifice and forms worship as gratitude for grace. It keeps the cross central and reinforces that cleansing and freedom are found in Jesus alone.,"Ideal for communion and response. Keep it minimal and congregational. If your arrangement includes long instrumental moments, shorten them to preserve lyrical focus.","A reverent worship song celebrating the saving power of Jesus' blood, calling the church to gratitude, humility, and faith in Christ's finished work. Use the practical leadership notes above for arrangement guidance."
Goodbye Yesterday,Elevation Worship,A,C,126,4/4,freedom; new_life; testimony; joy,modern; upbeat,2 Corinthians 5:17; Romans 6:4; Galatians 5:1,"The song forms identity and transformation by emphasizing new life in Christ. It aligns with biblical themes of repentance, freedom, and the believer's renewed identity through grace.","Great for baptisms and celebration Sundays. Keep it energetic and precise. If your congregation is newer to the song, teach the chorus hook first and repeat it early.","A celebration of new life in Christ that invites the church to leave the old behind, singing freedom with testimony-driven joy. Use the practical leadership notes above for arrangement guidance."
As For Me And My House,Commonly Performed,G,Bb,94,4/4,family; commitment; worship; covenant,modern,Joshua 24:15; Deuteronomy 6:4-7; Psalm 101:2,"Rooted in Joshua's covenant commitment, the song forms devotion and intentionality in family discipleship. It frames worship as allegiance and daily choice, not only a Sunday practice.","Works well on family Sundays, baby dedications, and discipleship series. Keep it singable and avoid complicated bridges. Consider a brief scripture reading from Joshua 24 to frame it.","A family-centered declaration song that commits the household to serve the Lord, giving the church language for covenant devotion. Use the practical leadership notes above for arrangement guidance."
